epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,805.908,2.68552,3.61156,3.00896,0.90796,0.00018,0.00145,0.00033,8e-05,0.00244,0.01994,0.0019,0.00051,2.12656,2.09762,3.29928,0.83072,0.000649123,0.000649123,0.000649123
2,1660.66,2.19585,2.35917,1.58346,0.83893,0.12214,0.99637,0.92838,0.41992,0.09953,0.81193,0.40137,0.1148,1.79328,1.79561,2.27618,0.81287,0.00128322,0.00128322,0.00128322
3,2493.2,2.08168,2.20706,1.36651,0.82593,0.92225,0.86622,0.95652,0.47706,0.54202,0.53838,0.38102,0.10388,1.691,1.68174,1.32853,0.81603,0.00188432,0.00188432,0.00188432
4,3396.47,2.03619,2.14346,1.22303,0.82212,0.91689,0.92793,0.97591,0.49143,0.52494,0.56811,0.3894,0.10261,1.72171,1.71914,0.95925,0.81164,0.0018515,0.0018515,0.0018515
5,4194.09,1.92784,1.98595,1.11531,0.81621,0.89563,0.91308,0.95484,0.49459,0.47927,0.58289,0.36734,0.10207,1.55405,1.60268,0.89462,0.80732,0.001802,0.001802,0.001802
6,5026.04,1.89106,1.96679,1.05709,0.8117,0.96546,0.95249,0.98954,0.51694,0.52364,0.53412,0.3626,0.0983,1.61011,1.70112,0.76099,0.81044,0.0017525,0.0017525,0.0017525
7,5921.71,1.9574,1.94177,1.04442,0.81469,0.96564,0.94759,0.98897,0.56212,0.58952,0.60645,0.4666,0.14469,1.4881,1.68833,0.73458,0.80699,0.001703,0.001703,0.001703
8,6712.61,1.86007,1.86319,1.00038,0.81079,0.95955,0.95037,0.9891,0.58555,0.62605,0.62957,0.48795,0.14908,1.43677,1.53447,0.6898,0.80242,0.0016535,0.0016535,0.0016535
9,7508.45,1.81889,1.88287,0.9636,0.80915,0.9741,0.9584,0.99145,0.57352,0.57029,0.57703,0.41644,0.11891,1.43914,1.55354,0.6525,0.8044,0.001604,0.001604,0.001604
10,9266.96,1.76504,1.85296,0.90568,0.8046,0.97351,0.95604,0.99123,0.60751,0.62063,0.62422,0.46366,0.14009,1.34001,1.62045,0.62219,0.80047,0.0015545,0.0015545,0.0015545
11,10052,1.79265,1.85856,0.92094,0.80721,0.9796,0.94997,0.99039,0.62541,0.7106,0.68413,0.55129,0.17493,1.28694,1.49264,0.65277,0.79817,0.001505,0.001505,0.001505
12,10818.5,1.7807,1.8184,0.90153,0.80642,0.97248,0.94482,0.98963,0.62055,0.63095,0.62177,0.49292,0.15284,1.32075,1.62979,0.57922,0.80491,0.0014555,0.0014555,0.0014555
13,11591.6,1.73236,1.81219,0.85815,0.80209,0.98331,0.95613,0.9919,0.6308,0.66932,0.65348,0.51657,0.16134,1.29104,1.49462,0.58584,0.79729,0.001406,0.001406,0.001406
14,12363.2,1.70767,1.77286,0.84415,0.80436,0.97796,0.95178,0.9913,0.60012,0.59281,0.58343,0.42661,0.12233,1.36925,1.47511,0.58426,0.8032,0.0013565,0.0013565,0.0013565
15,13154.9,1.68861,1.76487,0.8167,0.80057,0.98428,0.95315,0.99115,0.60864,0.63085,0.61515,0.46271,0.13636,1.34576,1.50695,0.60195,0.7997,0.001307,0.001307,0.001307
16,13939.7,1.76848,1.83405,0.84882,0.80231,0.98293,0.96166,0.99225,0.61517,0.67043,0.65381,0.50151,0.15448,1.31223,1.49118,0.5797,0.80007,0.0012575,0.0012575,0.0012575
